centre,intensity,sigma,log_likelihood,log_prior,log_posterior,weight
27.227858144073934,491635.0201354565,5.854669714345606,-3639349344289.013,2.03402922705644e-06,-3639349344289.013,0.0
34.616379033603216,173222.74921137062,3.316576557175846,-797525691775.5607,5.772913803485336e-06,-797525691775.5607,0.0
97.12302915519714,470449.87460284156,19.361430478124777,-573305787711.701,2.125624968747648e-06,-573305787711.701,0.0
62.026316667854196,222651.79591834938,21.881525985804952,-198123368534.10596,4.491317915830865e-06,-198123368534.10596,0.0
74.64263635789375,72147.34772351303,19.45299082944653,-22744001732.503796,1.3860523381015393e-05,-22744001732.50378,0.0
41.822736612835044,25617.02725736857,10.183855073513262,-5670955505.803137,3.9036535736688834e-05,-5670955505.803098,0.0
73.84678295772326,4963.915494624465,3.4798196670559225,-623987002.5883534,0.00020145387267025844,-623987002.5881519,0.0
46.24093994513081,4198.144219424414,11.108316988475545,-138166114.54515216,0.00023820048758046357,-138166114.54491395,0.0
68.71747640030277,4304.320117048017,13.995542248086167,-115741477.42924039,0.00023232472790286302,-115741477.42900807,0.0
52.45193051908173,2953.560990869332,21.972528592704954,-34192092.13281459,0.0003385743524821089,-34192092.13247602,0.0
98.09647827172559,2234.588866564791,9.551084738480844,-26847669.85208128,0.0004475096134965038,-26847669.851633772,0.0
32.683061637412955,1716.0771529046451,13.242579225855264,-19227808.59615493,0.0005827243829377907,-19227808.595572203,0.0
74.9458119805034,660.2995357005653,2.227909931933145,-17235683.988678686,0.0015144641877402184,-17235683.98716422,0.0
64.72722325052021,2044.0671680847945,24.68943481305103,-14167867.07905197,0.0004892207142767026,-14167867.07856275,0.0
36.396998177051955,1348.3741381069624,19.046056107268498,-8074123.039586214,0.0007416339217273485,-8074123.038844581,0.0
40.59399085026588,261.2719456560452,17.16249143639787,-282466.1964505409,0.003827429682467565,-282466.19262311124,0.0
17.415769463439158,194.98457038547758,17.687872539484882,-164556.23706784897,0.005128610935845003,-164556.23193923803,0.0
83.01153850653968,143.18032804563006,10.935971205560621,-163215.93350200457,0.006984199670790742,-163215.9265178049,0.0
93.19495829770634,38.45957475577922,1.3497015582536798,-102099.25243294964,0.026001327532872227,-102099.2264316221,0.0
17.338412984179808,54.0227712236243,2.974685872025584,-91394.25914892662,0.018510712748528856,-91394.24063821387,0.0
45.041807175542914,37.05266393904587,1.1895801893048064,-86921.79803818504,0.026988612792998294,-86921.77104957224,0.0
87.8750163709794,90.82213315557,10.488062585270166,-69661.14989645974,0.011010531962369697,-69661.13888592778,0.0
15.611301725757976,9.704536105379868,1.8523496132364814,-9909.1911723597,0.10304459575822833,-9909.088127763942,0.0
6.453059464471256,19.962960259921076,18.390714355549132,-6303.159111017744,0.05009277116118216,-6303.109018246583,0.0
97.071168004404,10.230561324340362,15.58908602575713,-5794.343015719263,0.0977463472723455,-5794.245269371991,0.0
19.021592186855585,0.5520768811805409,0.5945852078964642,-5616.688609050822,1.8113419237219948,-5614.877267127101,0.0
12.184899726998388,1.3445313370758951,5.05483586156974,-5611.816352552206,0.7437535834418062,-5611.072598968764,0.0
11.205897781372032,0.021381384150671656,2.7427216256008995,-5572.145282620972,46.76965686379976,-5525.375625757172,0.0
97.14745765294664,0.04209745297385009,4.54255998665597,-5571.946660272675,23.754406249261102,-5548.1922540234145,0.0
12.051214501117958,0.004595729809882081,6.582637549059306,-5571.805457486151,217.5932966837444,-5354.212160802406,0.0
6.857738119730527,0.0005813191981462751,2.783972583182365,-5571.796463444664,1720.2253137154676,-3851.571149729197,0.0
6.951876958633363,0.0005913114518446308,1.8313542608983713,-5571.795680598709,1691.15615278622,-3880.6395278124887,0.0
0.10592737455498158,4.783533168755654e-05,14.56573466518092,-5571.786105480894,20905.049985471953,15333.26387999106,0.0
78.399893905114,1.371821094946149e-06,18.225340229192692,-5571.786037893265,728958.0278974024,723386.2418595091,0.0
20.82761240020036,1.3174465643796948e-06,22.604784025341214,-5571.786033899814,759044.0683040826,753472.2822701829,0.0
74.14639974396812,1.6829928884941815e-06,10.661400539055663,-5571.786017268573,594179.575467325,588607.7894500565,0.0
26.326722240747145,5.692026331994807e-06,1.7970421904147105,-5571.785986929351,175684.35943084327,170112.57344391392,0.0
17.69742580426562,6.47683264652337e-06,15.599706151670553,-5571.785736491498,154396.45496117292,148824.66922468142,0.0
34.12693583403845,3.5255122006675413e-06,24.928901818621444,-5571.785512303538,283646.72793095256,278074.94241864904,0.0
11.458435316446181,0.00011637549577825815,11.80577989992926,-5571.784717834989,8592.874241372941,3021.089523537952,0.0
16.023753374510463,4.477241866784095e-05,14.805058920541128,-5571.783772749082,22335.17933035586,16763.395557606775,0.0
24.499115319826558,3.2564525906380566e-05,23.468731791572015,-5571.781404535615,30708.262201479305,25136.480796943688,0.0
97.26779714674822,0.000927309197239838,13.44494656459417,-5571.780813556121,1078.3889591266086,-4493.391854429512,0.0
70.71802239120795,3.403225619756749e-05,20.859603217203055,-5571.7800986147095,29383.88786787156,23812.10776925685,0.0
20.422363001768197,8.082195888539533e-05,18.568239475563416,-5571.7773875432085,12372.875067504727,6801.097679961518,0.0
12.234240783166339,0.00032380431083761516,13.980663336269103,-5571.77707187118,3088.285012059307,-2483.492059811873,0.0
30.47049434354153,0.00010903978849510796,9.520769696407122,-5571.767740358112,9170.964230592439,3599.196490234327,0.0
55.70389361445673,4.67436211321881e-05,5.661117706270827,-5571.763942181157,21393.29336877991,15821.52942659875,0.0
15.909690618667405,0.006739242857635055,4.655550787919174,-5571.758365945625,148.38462140699903,-5423.373744538626,0.0
